Website,Country,Studio,Publisher,PC,Mobile,VR,VR only,Console,Browser games,Launched products,Revenue,Selling from a website,Distribution platform,Payment gateway or service (for direct selling websites),Project scale assessment,Simplified classification of studios,Publisher + producing its games,Custom games + studio’s own games,Making the first game,Possibly out of business
10tons.com/,Finland,10tons,?,X,X,?,?,?,?,44,?,?,X,?,4,B,?,?,?,?
11bitstudios.com/,Poland,11 bit studios,11 bit studios,X,X,?,?,X,?,12,?,?,X,?,9,A,X,?,?,?
1939games.com/,Iceland,1939 Games,?,X,?,?,?,?,?,1,?,?,X,?,7,B,?,?,?,?
1button.co/,France,1Button,?,?,X,?,?,?,?,18,?,?,-,?,-,-,?,?,?,?
1c.games/ru/,Russia,1C Games,1C,X,?,?,?,X,?,20,?,?,X,?,13,A,?,?,?,?
1ccgames.com/,UK,1CC Games,Black Shell Media,X,?,?,?,X,?,4,?,?,X,?,1,C,?,?,?,?
22cans.com/,UK,22cans,?,X,X,?,?,?,?,3,?,?,X,?,4,B,?,?,?,?
2play.se/,Sweden,2Play Studios,?,X,?,?,?,?,?,2,?,?,X,?,2,C,?,?,?,?
2zombie.com/,Russia,2 Zombie Games,?,X,X,?,?,X,?,2,?,?,X,?,2,C,?,?,?,?
34bigthings.com/,Italy,34 Big Things,34 Big Things,X,?,?,?,?,?,8,?,X,X,humblebundle.com/,5,B,X,?,?,?
3d2entertainment.com/,Spain,3D2Entertainment,?,X,?,?,?,?,?,2,?,?,X,?,4,B,?,?,?,?
3dclouds.it/,Italy,3DClouds,?,X,?,?,?,?,?,4,?,?,X,?,4,B,?,?,?,?
3division.net/newweb/index.html,Slovenia,3division,?,X,?,?,?,?,?,9,?,?,X,?,5,B,?,?,?,?
3heroesstudio.com/,Serbia,3 heroes studio,?,?,X,?,?,?,?,2,?,?,-,?,-,-,?,?,?,X
3rdeyestudios.fi/#home-section,Finland,3rd eye studios,?,X,?,X,?,?,?,1,?,?,X,?,4,B,?,?,?,?
4a-games.com/,Ukraine,4A Games,?,X,?,?,?,X,?,5,?,?,X,?,9,A,?,?,?,?
4bitgames.com/,Norway,4Bit Games,?,X,?,?,?,X,?,3,?,?,X,?,2,C,?,?,?,?
4flash0.webnode.hu/,Hungary,4Flash Interactive,?,?,X,?,?,?,?,4,?,?,-,?,-,-,?,?,?,?
4ilab.io/,Belarus,4ilab,?,X,?,X,X,?,?,4,?,?,X,?,4,B,?,?,?,?
5thplanetgames.com/,Denmark,5th Planet Games,?,?,X,?,?,?,?,5,?,?,-,?,-,-,?,?,?,?
9thimpact.com/,Ireland,9th Impact,?,?,X,?,?,?,?,5,?,?,-,?,-,-,?,?,?,?
a2zinteractive.net/,UK,a2z Interactive,?,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,?,?
abandonshipgame.com/,UK,Fireblade Software,?,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,?,?
abbeygames.com/,Netherlands,Abbey Games,?,X,?,?,?,?,?,3,?,?,X,?,4,B,?,?,?,?
abinteractive.net/,Germany,Alpha Blend Interactive,?,X,?,X,X,?,?,1,?,?,X,?,4,B,?,?,?,?
ablemagic.no/,Norway,Ablemagic,?,?,X,?,?,?,?,18,?,?,-,?,-,-,?,?,?,?
about-fun.com/home,Czech Republic,About fun,?,?,X,?,?,?,?,8,?,?,-,?,-,-,?,?,?,?
abrakam.com/,Belgium,Abrakam,?,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,?,?
abramelingames.com/,Spain,Abramelin Games,?,X,?,?,?,X,?,1,?,?,X,?,4,B,?,?,?,?
abraveplan.com/,UK,A Brave Plan,Bossa Studios,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,?,?
absolutist.ru/,Ukraine,Absolutist,?,X,X,?,?,?,?,55,?,X,X,payonline.ru/,3,C,?,?,?,?
absolutsoft.com/,Russia,AbsolutSoft,?,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,?,?
abstraction.games/,Netherlands,Abstraction,?,X,X,?,?,X,?,11,?,?,X,?,9,A,?,X,?,?
abylight.com/games/,Spain,Abylight Studio,?,?,X,?,?,?,?,38,?,?,-,?,-,-,?,?,?,?
abyteentertainment.com/,Italy,Abyte Entertainment,?,X,X,?,?,?,?,1,?,?,X,?,2,C,?,?,?,?
accidentalqueens.com/,France,Accidental Queens,?,X,?,?,?,?,?,3,?,X,X,itch.io/,1,C,?,?,?,?
acemaddox.com/,Sweden,Ace Maddox,?,X,?,?,?,X,?,1,?,?,X,?,4,B,?,?,?,?
aceviral.com/,UK,Aceviral,?,?,X,?,?,?,?,29,?,?,-,?,-,-,?,?,?,?
acidnerve.com/,UK,Acid Nerve,?,X,X,?,?,?,?,4,?,?,X,?,4,B,?,?,?,?
acidwizardstudio.com/,Poland,Acid Wizard Studio,?,X,?,?,?,X,?,1,?,?,X,?,4,B,?,?,?,?
ackehallgren.com/,Sweden,Acke Hallgren Games,?,X,?,?,?,?,?,1,?,?,X,?,2,C,?,?,?,?
acrylec.com/,Denmark,Acrylec Studios,?,X,?,?,?,?,?,1,?,?,X,?,2,C,?,?,?,?
actalogic.com/,Slovenia,Actalogic,?,X,?,?,?,?,?,16,?,?,X,?,6,B,?,?,?,?
actionreaction.games/,Finland,Action reaction games,?,?,X,?,?,?,?,1,?,?,-,?,-,-,?,?,?,?
actionsquadstudios.com/,Finland,Action Squad Studios,Daedalic Entertainment,X,?,?,?,?,?,1,?,?,X,?,8,A,?,?,?,?
actnormalgames.com/,Finland,Act Normal Games,?,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,X,?
acucalypse.com/,Spain,Trifulca,?,X,?,?,?,?,?,1,?,?,X,?,2,C,?,?,?,?
addictive247.com/,UK,Addictive 247,?,X,X,?,?,?,?,11,?,?,X,?,3,C,?,?,?,?
addinspiration.com/,Finland,Add Inspiration,?,?,X,?,?,?,?,4,?,?,-,?,-,-,?,?,?,?
adictiz.com/fr/,France,Adictiz,?,?,X,?,?,?,?,59,?,?,-,?,-,-,?,?,?,?
adoregames.com/,UK,AdoreGames,?,?,X,?,?,?,?,2,?,?,-,?,-,-,?,X,?,?
adrovgames.com/,Russia,AdroVGames,?,X,?,?,?,?,?,2,?,?,X,?,2,C,?,?,?,?
advenworks.com/,France,Advenworks,?,?,X,?,?,?,?,6,?,?,-,?,-,-,?,?,?,?
aegongames.com/,UK,Aegon Games,?,X,?,?,?,?,?,4,?,?,X,?,4,B,?,?,?,?
aeonofsands.com/,Germany,Two Bits Kid,?,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,?,?
aesir-interactive.com/,Germany,Aesir Interactive GmbH,?,X,?,X,?,X,?,7,?,?,X,?,5,B,?,?,?,?
agens.no/,Norway,Agens,?,?,X,?,?,?,?,4,?,?,-,?,-,-,?,?,?,?
agensgames.com/,Norway,Agens games,?,?,X,?,?,?,?,10,?,?,-,?,-,-,?,?,?,?
ageod.com/,France,Ageod,Slitherine,X,?,?,?,?,?,10,?,O,X,slitherine.com/,9,A,?,?,?,?
agger-interactive.de/2019/e-index.htm,Germany,Agger Interactive,?,X,?,?,?,?,?,4,?,X,X,paypal.com/,2,C,?,?,?,?
aghartastudio.com/,France,Agharta Studio,?,X,?,X,?,?,?,4,?,?,X,?,4,B,?,?,?,?
ai-interactive.net/,Bosnia and Herzegovina,AI Interactive,?,?,X,?,?,?,?,5,?,?,-,?,-,-,?,?,?,?
aifactory.co.uk/,UK,AI Factory,?,?,X,?,?,?,?,31,?,?,-,?,-,-,?,?,?,?
akaonistudio.com/en/games.html,Spain,Akaoni Studio,?,?,X,?,?,?,?,2,?,?,-,?,-,-,?,?,?,?
aksweb.ru/,Russia,AK Studio,?,X,X,?,?,?,?,4,?,?,X,?,2,C,?,?,?,?
alanzucconi.com/,UK,Alan Zucconi,?,X,?,?,?,X,?,4,?,?,X,?,2,C,?,?,?,?
albiononline.com/ru/home,Germany,Sandbox Interactive,?,X,X,?,?,?,?,1,?,?,X,?,11,A,?,?,?,?
aldagames.com/,Czech Republic,Alda games,?,X,X,?,?,?,?,9,?,?,X,?,3,C,?,?,?,?
aldin.io/,Iceland,Aldin Dynamics,?,X,?,X,X,?,?,1,?,?,X,?,4,B,?,?,?,?
alersteam.com/blog/,Russia,AlersTeam,GrabTheGames,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,?,?
aliasworlds.com/,Belarus,Aliasworlds,?,X,X,?,?,?,?,29,$282.5K,O,X,bigfishgames.com/,3,C,?,?,?,?
alienpixelstudios.com/#1,Romania,Alien Pixel Studios,?,X,?,?,?,?,?,3,?,?,X,?,4,B,?,?,?,?
alightinchorus.com/,UK,Broken Fence Games,?,X,?,?,?,?,?,1,?,?,X,?,2,C,?,?,X,?
alkamegames.com/,Turkey,AlkameGames,?,X,X,X,?,?,?,11,?,?,X,?,3,C,?,?,?,?
alkemi-games.com/,France,Alkemi,?,X,?,?,?,?,?,2,?,?,X,?,2,C,?,?,?,?
all-those-moments.com/,Poland,All Those Moments,Ultimate Games S.A.,X,?,?,?,?,?,3,?,?,X,?,2,C,?,?,?,?
almostgamestudio.com/,France,Almost Games Studio,Plug In Digital,X,?,?,?,?,?,2,?,?,X,?,4,B,?,?,?,?
alphastrikegames.com/,UK,Alpha Strike Games,?,X,X,?,?,?,?,1,?,?,X,?,2,C,?,?,?,X
alpixelgames.com/,Spain,AlPixel Games,?,X,?,?,?,?,?,2,?,?,X,?,2,C,?,?,?,?
altar.games/ru/,Russia,ALTAR Games,?,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,X,?
alteredmatter.com/,Spain,Altered Matter,Akupara Games,X,?,?,?,X,?,1,?,X,X,humblebundle.com/,4,B,?,?,?,?
alternativa.games/,Russia,Alternativ Games,?,X,X,?,?,?,?,4,?,?,X,?,5,B,?,?,?,?
alternativesoftware.com/,UK,Alternative Software,Alternative Software,X,X,?,?,X,?,20,?,X,X,paypal.com/,6,B,X,?,?,?
altfuture.gg/,Serbia,Altfuture,?,X,?,X,?,?,?,2,?,?,X,?,4,B,?,?,?,?
amanita-design.net/,Czech Republic,Amanita Design,?,X,X,?,?,?,?,11,?,?,X,?,3,C,?,?,?,?
ambidexter.io/,Russia,Ambidexter,?,?,X,?,?,?,?,2,?,?,-,?,-,-,?,?,?,X
ambieragames.com/,Austria,Ambiera,?,X,?,?,?,?,?,4,?,?,X,?,4,B,?,?,?,?
amplify.pt/,Portugal,Amplify Creations,?,X,?,?,?,X,?,1,?,?,X,?,8,A,?,?,?,?
amplitude-studios.com/,France,Amplitude Studios,Sega,X,?,?,?,?,?,5,?,?,X,?,9,A,?,?,?,?
amrita.studio/,Ukraine,Amrita Studio,?,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,?,?
amt-games.com/,Russia,AMT games,?,?,X,?,?,?,?,2,?,?,-,?,-,-,?,?,?,?
amusedsloth.com/,UK,Amused Sloth,?,?,X,?,?,?,?,5,?,?,-,?,-,-,?,?,?,?
anarkisgaming.com/,France,Anarkis Gaming,?,X,?,?,?,?,?,2,?,X,X,itch.io/,4,B,?,?,?,?
angrydemonstudio.com/,Sweden,Angry Demon Studio,?,X,?,?,?,?,?,2,?,?,X,?,4,B,?,?,?,?
angrymobgames.com/,Romania,Angry Mob Games,?,X,X,?,?,X,?,6,?,?,X,?,5,B,?,?,?,?
animationarts.de/,Germany,Animation Arts GmbH,?,X,X,?,?,?,?,8,?,?,X,?,5,B,?,?,?,?
aniway.fi/,Finland,Aniway,?,?,X,?,?,?,?,170,?,?,-,?,-,-,?,?,?,?
ankama.com/en,France,Ankama,?,X,X,?,?,?,?,17,?,X,X,Unknown,9,A,?,?,?,?
anotherplaceproductions.com/,UK,Another place productions,?,?,X,?,?,?,?,38,?,?,-,?,-,-,?,?,?,?
ansharstudios.com/,Poland,Ansharstudios,?,X,X,X,?,?,?,6,?,?,X,?,5,B,?,?,?,?
ant-workshop.com/,UK,Ant Workshop Ltd,?,X,X,?,?,?,?,4,?,?,X,?,2,C,?,?,?,?
antagonist.no/,Norway,Antagonist,?,X,?,?,?,?,?,2,?,?,X,?,4,B,?,?,?,?
antagonistgames.wixsite.com/home,Norway,Antagonist Games,1C,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,?,?
antimattergames.com/,UK,Antimatter Games,?,X,?,?,?,?,?,3,?,?,X,?,8,A,?,X,?,?
antlerinteractive.com/,Sweden,Antler Interactive,?,X,X,X,?,?,?,4,?,?,X,?,4,B,?,?,?,?
apexpoint.com/,Russia,ApexPoint,?,?,X,?,?,?,?,3,?,?,-,?,-,-,?,?,?,?
apm2.studio/,Belarus,APM2 Studio,?,?,X,?,?,?,?,4,?,?,-,?,-,-,?,?,?,?
apoapsisstudios.com/,Sweden,Apoapsis Studios,?,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,?,?
appeal-studios.com/,Belgium,Appeal Studios,?,X,?,?,?,X,?,3,?,?,X,?,8,A,?,?,?,?
applava.com/,Lithuania,Applava,?,X,X,?,?,X,?,13,?,?,X,?,3,C,?,?,?,?
apprope.com/,Sweden,Apprope,?,?,X,?,?,?,?,3,?,?,-,?,-,-,?,?,?,?
apps.lisbonlabs.com/,Portugal,Lisbonlabs,?,?,X,?,?,?,?,10,?,?,-,?,-,-,?,?,?,?
appsministry.com/,Russia,Apps Ministry,?,?,X,?,?,?,?,22,?,?,-,?,-,-,?,?,?,?
appynation.com/,UK,AppyNation,?,?,X,?,?,?,?,10,?,?,-,?,-,-,?,?,?,?
arcticfoxgamestudios.com/,Sweden,Arctic Fox Game Studios,?,X,?,?,?,?,?,1,?,?,X,?,2,C,?,?,?,?
arkane-studios.com/en,France,Arkane Studios,?,X,?,?,?,X,?,11,?,?,X,?,9,A,?,?,?,?
armadainteractive.com/,Finland,Armada interactive,?,?,X,?,?,?,?,1,?,?,-,?,-,-,?,?,?,?
armaturgames.com/,Russia,Armatur Games,?,X,X,?,?,?,?,4,?,?,X,?,2,C,?,?,?,?
arrowheadgamestudios.com/,Sweden,Arrowhead Studios,?,X,?,?,?,X,?,5,?,?,X,?,9,A,?,?,?,?
art-games.com/,Poland,Art Games Studio S.A.,Art Games Studio S.A.,X,?,?,?,?,?,5,?,?,X,?,5,B,X,?,?,?
artefacts-studio.fr/,France,Artefacts Studio,?,X,X,?,?,X,?,14,?,?,X,?,9,A,?,?,?,?
artifexmundi.com/,Poland,Artifex Mundi,?,X,X,?,?,?,?,83,?,?,X,?,3,C,?,?,?,?
artingames.com/,Slovenia,Art in Games s.r.o.,?,?,X,?,?,?,?,1,?,?,-,?,-,-,?,?,?,?
artistic-minds.it/,Italy,Artistic Minds,?,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,X,?
ascendantstudio.com/,Czech Republic,Ascendant Studio,?,X,?,X,X,?,?,2,?,?,X,?,4,B,?,?,?,?
ashofgods.com/ru/,Russia,Aurum Dust,WhisperGames,X,?,?,?,X,?,1,?,?,X,?,8,A,?,?,?,?
asmodee-digital.com/en/,France,Asmodee Digital,Asmodee Digital,X,X,?,?,?,?,8,?,?,X,?,3,C,X,?,?,?
asobostudio.com/,France,Asobo Studio,?,X,?,?,?,X,?,24,?,?,X,?,10,A,?,?,?,?
astraware.com/,UK,Astraware,?,?,X,?,?,?,?,11,?,?,-,?,-,-,?,?,?,?
astronomicgames.com/,UK,Astronomic Games,?,X,?,?,?,?,?,13,?,?,X,?,3,C,?,?,?,?
aterdux.com/ru/,Belarus,Aterdux Entertainment,?,X,?,?,?,?,?,1,?,X,X,humblebundle.com/,4,B,?,?,?,?
atomicfabrik.com/,Moldavia,Atomic Fabrik,Atomic Fabrik,X,?,?,?,?,?,11,?,?,X,?,3,C,X,?,?,?
atomicom.co.uk/,UK,Atomicom,?,X,X,?,?,X,?,8,?,X,X,xsolla.com/,5,B,?,?,?,?
atomrepublic.com/,UK,Atom Republic,?,X,?,?,?,?,?,1,?,?,X,?,7,B,?,?,?,?
attugames.com/,Czech Republic,Attu Games,?,X,?,?,?,?,?,2,?,?,X,?,4,B,?,?,?,?
atypicalgames.com/,Romania,Revo Solutions Games,?,X,X,?,?,X,?,13,?,?,X,?,5,B,?,?,?,?
aurochdigital.com/,UK,Auroch Digital,?,X,?,?,?,?,?,8,?,?,X,?,5,B,?,?,?,?
avalanchestudios.com/,Sweden,Avalanche Studios,?,X,?,?,?,X,?,12,?,?,X,?,9,A,?,?,?,?
avalon-digital.com/en,France,Avalon,?,X,?,?,?,?,?,8,?,X,X,paiement.systempay.fr/,5,B,?,?,?,?
avokiddo.com/,UK,Avokiddo,?,?,X,?,?,?,?,10,?,?,-,?,-,-,?,?,?,?
avorion.net/,Germany,Boxelware,?,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,?,?
awem.com/,Belarus,Awem Games,?,?,X,?,?,?,?,3,?,?,-,?,-,-,?,?,?,?
awesomegamesstudio.com/,Poland,Awesome Games Studio,?,X,?,?,?,?,?,5,?,?,X,?,5,B,?,?,?,?
awesomeprototype.com/,Germany,Awesome prototype,?,?,X,?,?,?,?,2,?,?,-,?,-,-,?,?,?,?
axc-games.com/,France,AXC GAMES,?,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,X,?
axolotgames.com/,Sweden,Axolot Games,Axolot Games,X,?,?,?,?,?,1,?,?,X,?,4,B,X,?,?,?
aygamesco.com/,Russia,AY Games,WhisperGames,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,?,?
azdimension.az/,Azerbaijan,AzDimension,?,X,X,?,?,?,?,7,?,?,X,?,5,B,?,?,?,?
azurgames.com/,Russia,Azur Games,?,?,X,?,?,?,?,30,?,?,-,?,-,-,?,?,?,?
b-alive.de/,Germany,B-alive,?,X,?,?,?,?,?,16,?,?,X,?,6,B,?,?,?,?
backwoods-entertainment.com/,Germany,Backwoods Entertainment,Application Systems,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,?,?
badflyinteractive.com/,Czech Republic,BadFly Interactive,?,X,X,?,?,?,?,3,?,?,X,?,4,B,?,?,?,?
badjokestudio.com/,Italy,Bad Jokes,?,X,X,?,?,?,?,6,?,?,X,?,3,C,?,?,?,?
badlogicstudios.com/,UK,Bad Logic Studios,?,X,?,?,?,?,?,5,?,?,X,?,3,C,?,?,?,?
badmonkee.de/website/#,Germany,Bad monkee,?,?,X,?,?,?,?,5,?,?,-,?,-,-,?,?,?,?
badnorth.com/,Sweden,Plausible Concept,Raw Fury,X,?,?,?,?,?,1,?,?,X,?,2,C,?,?,?,?
badseed.it/,Italy,Bad Seed,?,X,X,?,?,X,?,4,?,?,X,?,4,B,?,?,?,?
badyolkgames.com/,Sweden,Bad Yolk,?,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,?,?
bakedgames.pl/,Poland,Baked Games,?,X,X,?,?,?,?,13,?,?,X,?,5,B,?,?,?,?
balzo.eu/,Italy,Balzo,?,?,X,?,?,?,?,7,?,?,-,?,-,-,?,?,?,?
banzai.games/,Russia,Banzai Games,Nekki,?,X,?,?,?,?,5,?,?,-,?,-,-,?,?,?,?
barbed-wire.eu/,Russia,Barbed Wire Studios,?,X,?,?,?,?,?,1,?,?,X,?,8,A,?,?,X,?
bareknuckledev.com/,UK,Bare Knuckle Development,?,X,?,?,?,?,?,5,?,?,X,?,3,C,?,?,?,?
baremettle.com/,UK,Bare Mettle Entertainment,?,X,?,?,?,?,?,2,?,X,X,pay.shopify.com/,4,B,?,?,?,?
barnstormgames.com/,UK,Barnstorm Games,?,?,X,?,?,?,?,8,?,?,-,?,-,-,?,?,?,?
barsstudios.com/,Austria,BARS Studios,?,X,?,?,?,?,?,2,?,?,X,?,4,B,?,?,?,?
battlebrothersgame.com/,Germany,Overhype Studios,?,X,?,?,?,?,?,1,?,X,X,humblebundle.com/,4,B,?,?,?,?
battlestategames.com/,Russia,Battlestate Games,?,X,?,?,?,?,?,1,?,X,X,xsolla.com/,11,A,?,?,?,?
beamng.gmbh/beamng-drive/,Germany,BeamNG,?,X,?,?,?,?,?,1,?,?,X,?,2,C,?,?,?,?
bearbitstudios.com/,Netherlands,Bearbit,?,X,?,?,?,?,?,1,?,?,X,?,2,C,?,?,?,X
beardedbrothers.games/,Poland,BeardedBrothers games,?,X,?,?,?,X,?,1,?,?,X,?,4,B,?,?,?,?
beardenvy.co.uk/,UK,Beard Envy,?,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,X,?
beardgames.net/,Russia,Beard Games Studio,?,X,?,?,?,?,?,2,?,?,X,?,4,B,?,?,?,?
beastsbattle.com/,Russia,Greenolor Studio,?,X,?,?,?,?,?,2,?,?,X,?,2,C,?,?,?,?
beatshapers.com/,Ukraine,Beatshapers,?,X,?,X,?,?,?,7,?,?,X,?,5,B,?,?,?,?
beautifungames.com/group-list/games/,Spain,BeautiFun Games,?,X,X,?,?,?,?,3,?,X,X,humblebundle.com/,4,B,?,?,?,?
bedtime.io/,Denmark,Bedtime Digital Games,?,X,X,?,?,X,?,4,?,?,X,?,4,B,?,?,?,?
beetrootlab.com/,Latvia,Beetroot lab,?,?,X,?,?,?,?,6,?,?,-,?,-,-,?,?,?,?
bellealgames.com/,Bulgaria,Belleal Games,?,X,?,?,?,?,?,2,?,?,X,?,2,C,?,?,?,?
berlingamesclub.com/,Germany,BerlinGamesClub,hOSHI,X,?,?,?,?,?,1,?,?,X,?,1,C,?,?,?,?
betadwarf.com/,Denmark,BetaDwarf Entertainment,?,X,?,?,?,X,?,3,?,?,X,?,4,B,?,?,?,?
beyondframes.com/,Sweden,Beyond Frames,?,X,?,X,X,?,?,4,?,?,X,?,4,B,?,?,?,?
beyondthosehills.com/,Greece,Beyondthosehills,?,X,X,?,?,?,?,2,?,?,X,?,2,C,?,?,?,?
bigbadwolf-studio.com/,France,Big Bad Wolf,?,X,?,?,?,X,?,2,?,?,X,?,8,A,?,?,?,?
bigevilcorporation.co.uk/,UK,Big Evil Corp,?,X,?,?,?,X,?,1,?,?,X,?,2,C,?,?,?,?
bigheadgames.co.uk/,UK,Big Head Games,?,?,X,?,?,?,?,9,?,?,-,?,-,-,?,?,?,?
bigmoonstudios.com/,Portugal,Bigmoon Studios,?,X,X,?,?,X,?,10,?,?,X,?,9,A,?,?,?,?
bigosaur.com/,Serbia,Bigosaur,?,X,X,?,?,?,?,7,?,?,X,?,3,C,?,?,?,?
bigpixelstudios.co.uk/,UK,Big Pixel Games,?,?,X,?,?,?,?,7,?,?,-,?,-,-,?,?,?,?
bigpoint.net/,Germany,BIGPOINT,?,X,X,?,?,?,X,13,?,?,-,?,2,C,?,?,?,?
bigumaku.com/,UK,Bigumaku,?,?,X,?,?,?,?,3,?,?,-,?,-,-,?,?,?,?
binaryimpact.de/,Germany,Binary Impact,?,X,?,?,?,?,?,2,?,?,X,?,2,C,?,?,?,?
binaryzoo.com/games_page/,UK,Binary Zoo,?,X,X,?,?,?,?,6,?,?,X,?,2,C,?,?,?,?
bip-media.com/,France,BIP Media,Plug In Digital,X,?,?,?,?,?,2,?,?,X,?,2,C,?,?,?,?
bipolardawn.wordpress.com/,Spain,Bipolar Dawn,?,X,?,?,?,?,?,1,?,?,X,?,2,C,?,?,?,X
bisbog.com/,UK,Bisbog,?,?,X,?,?,?,?,4,?,?,-,,-,-,?,?,?,?
bit.games/,Russia,BIT.GAMES,?,X,X,?,?,?,X,2,?,?,X,?,2,C,?,?,?,?
bitgolemgames.com/,Poland,Bit Golem,?,X,?,?,?,?,?,4,?,?,X,?,4,B,?,?,?,?
bitmapbureau.com/,UK,Bitmap Bureau,?,X,?,?,?,X,?,3,?,?,X,?,2,C,?,?,?,?
bitmapgalaxy.com/,Slovenia,Bitmap Galaxy,?,?,X,?,?,?,?,4,?,?,-,?,-,-,?,?,?,?
bitsalive.com/,Austria,BitsAlive,?,X,?,?,?,X,?,1,?,?,X,?,4,B,?,?,X,?
black-forest-games.com/,Germany,Black Forest Games,?,X,?,?,?,X,?,5,?,?,X,?,9,A,?,?,?,?
