Website,Country,Studio,Publisher,PC,Mobile,VR,VR only,Console,Browser games,Launched products,Revenue,Selling from a website,Distribution platform,Payment gateway or service (for direct selling websites),Project scale assessment,Simplified classification of studios,Publisher + producing its games,Custom games + studio’s own games,Making the first game,Possibly out of business
darkdevotion.fr/,France,Hibernian Workshop,?,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,?,?
darkduogames.co.uk/,UK,Dark Duo Games,?,X,?,?,?,X,?,1,?,?,X,?,2,C,?,?,?,?
darklingroom.co.uk/,UK,Darkling Room,?,X,?,?,?,?,?,8,?,?,X,?,3,C,?,?,?,?
darknight-studio.co.uk/,UK,DarkNight-Studio,?,X,?,?,?,?,?,3,?,?,X,?,1,C,?,?,?,?
datcroft.com/,UK,Datcroft,?,X,X,?,?,?,X,6,?,?,X,?,8,A,?,?,?,?
davekki.com/,UK,D'Avekki Studios,?,X,?,?,?,?,?,2,?,X,X,paypal.com/,2,C,?,?,?,?
dawnofplay.com/,Slovenia,Dawn of Play,?,?,X,?,?,?,?,4,?,?,-,?,-,-,?,?,?,?
dazzle.rocks/,Finland,Dazzle rocks,?,?,X,?,?,?,?,1,?,?,-,?,-,-,?,?,?,?
deadhunters.com/,Hungary,Profondium Games,?,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,X,?
deadpangames.com/,UK,Deadpan Games,The Yogscast,X,?,?,?,X,?,1,?,?,X,?,2,C,?,?,?,?
deadtoast.com/,Sweden,DeadToast Entertainment,Devolver Digital,X,?,?,?,?,?,12,?,?,X,?,5,B,?,?,?,?
deathball.net/supragames/,Germany,SupraGames,?,X,?,?,?,?,?,3,?,?,X,?,4,B,?,?,?,?
deceptive-games.com/,UK,Deceptive Games,?,X,X,X,?,?,?,7,?,?,X,?,5,B,?,?,?,?
deck13.com/,Germany,Deck13 Interactive,?,X,?,?,?,X,?,17,?,?,X,?,10,A,?,?,?,?
deconstructeam.tumblr.com/games,Spain,Deconstruction team,Devolver Digital,X,?,?,?,?,X,16,?,X,X,Unknown,3,C,?,?,?,?
degenerals.com/,Poland,DeGenerals,PlayWay S.A.,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,?,?
deimos.games/,France,Deimos Games Development,?,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,?,?
delveinteractive.com/,UK,Delve Interactive,?,X,X,?,?,X,?,2,?,?,X,?,4,B,?,?,?,?
denki.co.uk/,UK,Denki,Curve Digital,X,?,?,?,X,?,4,?,?,X,?,4,B,?,?,?,?
deqaf.com/,Russia,DeqafStudio,?,X,X,?,?,?,?,9,?,?,X,?,3,C,?,?,?,?
desktopdaydreams.com/,UK,Desktop Daydreams,?,X,X,?,?,?,?,3,?,?,X,?,4,B,?,?,?,?
destenebres.com/,France,Le Studio des Ténèbres,?,X,X,?,?,?,?,3,?,?,X,?,2,C,?,?,?,?
destructivecreations.pl/,Poland,Destructive Creations,Destructive Creations,X,?,?,?,X,?,3,?,?,X,?,8,A,X,?,?,?
detach-entertainment.com/,Germany,Detach Entertainment,?,X,?,?,?,?,?,1,?,?,X,?,2,C,?,?,?,?
deuscraft.com/,Russia,Deus Craft,?,?,X,?,?,?,?,40,?,?,-,?,-,-,?,?,?,?
dev-zoo.net/,Germany,Developers Zoo,?,X,?,?,?,?,?,2,?,?,X,?,2,C,?,?,?,?
dev4play.com/,Poland,Dev4play,No Gravity Games,X,X,?,?,?,?,8,?,?,X,?,3,C,?,?,?,?
devalley-entertainment.com/,France,DEVALLEY STUDIO,?,X,X,?,?,?,?,11,?,?,X,?,2,C,?,?,?,?
devilishgames.com/en/games/,Spain,Devilish games,?,X,X,?,?,X,?,14,?,?,X,?,3,C,?,?,?,?
devioustech.com/,Romania,Devious Technologies,?,X,?,X,?,?,?,1,?,?,X,?,4,B,?,?,?,?
devm-games.com/,Sweden,Devm-Games,?,X,X,?,?,X,?,28,?,?,X,?,4,B,?,?,?,?
dg-company.com/,Kazakhstan,DreamGate,?,X,X,?,?,?,X,9,?,?,X,?,3,C,?,?,?,?
diabotical.com/,Sweden,The GD Studio,?,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,X,?
diamondbrickout.com/,UK,Takeover Interactive,?,?,X,?,?,?,?,1,?,?,-,?,-,-,?,?,?,?
dice.se/,Sweden,Dice,Electronic Arts,X,?,?,?,X,?,41,?,?,X,?,13,A,?,?,?,?
dienogames.com/,Finland,Dieno games,?,?,X,?,?,?,?,3,?,?,-,?,-,-,?,?,?,?
differenttales.com/,Poland,Different Tales,Walkabout,X,X,?,?,X,?,2,?,?,X,?,2,C,?,?,?,?
digidiced.com/,Germany,DIGIDICED,?,X,X,?,?,?,?,11,?,?,X,?,2,C,?,?,?,?
digital-arrow.com/,Serbia,Digital arrow,THQ Nordic,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,X,?
digital-legends.com/games.html,Spain,Digital Legends,?,?,X,?,?,?,?,16,?,?,-,?,-,-,?,?,?,?
digitalcombatsimulator.com/ru/,Russia,Eagle Dynamics,?,X,?,?,?,?,?,3,?,X,X,money.yandex.ru/,7,B,?,?,?,?
digitalcybercherries.com/,UK,Digital Cybercherries,?,X,?,X,?,?,?,2,?,?,X,?,4,B,?,?,?,?
digitaldreamsgames.com/,Netherlands,Digital Dreams,?,X,?,?,?,?,?,1,?,?,X,?,2,C,?,?,?,?
digitalmelody.eu/,Poland,Digital Melody,Forever Entertainment,X,X,?,?,X,?,32,?,?,X,?,3,C,?,?,?,?
digitalmindsoft.eu/,Germany,Digitalmindsoft,?,X,?,?,?,?,?,5,?,?,X,?,5,B,?,?,?,?
digitalsungames.com/#games,Spain,Digital Sun Games ,11 bit studios,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,?,?
digitgaming.com/,Ireland,Digit Game Studios,?,?,X,?,?,?,?,2,?,?,-,?,-,-,?,?,?,?
digixart.com/,France,Digixart Entertainment,?,X,X,?,?,X,?,2,?,?,X,?,4,B,?,?,?,?
dimfroststudio.com/,Sweden,Dimfrost Studios,?,X,?,X,X,?,?,2,?,?,X,?,4,B,?,?,?,?
dinoboss.com/,UK,Dino Boss,?,?,X,?,?,?,?,1,?,?,-,?,-,-,?,?,?,?
dirtybit.com/,Norway,Dirtybit,?,?,X,?,?,?,?,6,?,?,-,?,-,-,?,?,?,?
distantlantern.com/,UK,Distant Lantern,?,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,?,?
distinctivegames.com/,UK,Distinctive Developments,?,?,X,?,?,?,?,8,?,?,-,?,-,-,?,?,?,?
divertap.com/,Spain,Divertap,?,?,X,?,?,?,?,12,?,?,-,?,-,-,?,?,?,X
dlalastudios.com/,UK,Dlala Studios,?,X,?,?,?,X,?,4,?,?,X,?,4,B,?,?,?,?
dlsoftworks.com/,UK,DL Softworks,The Digital Puzzle Company,X,?,?,?,?,?,16,?,?,X,?,3,C,?,?,?,?
dnovel.com/,Russia,Dnovel,?,X,?,?,?,?,?,12,?,?,X,?,2,C,?,?,?,?
dobsware.com/,Portugal,Dobsware,?,?,X,?,?,?,?,18,?,?,-,?,-,-,?,?,?,?
dodreams.com/,Finland,Dodreams,?,?,X,?,?,?,?,2,?,?,-,?,-,-,?,?,?,?
dont-nod.com/en/,France,DONTNOD,?,X,?,?,?,X,?,7,?,?,X,?,9,A,?,?,?,?
dontbitedevs.com/,Poland,Don't Bite Devs,No Gravity Games,X,?,?,?,?,?,3,?,?,X,?,2,C,?,?,?,?
doomsterentertainment.com/,Sweden,Doomster Entertainment,?,X,?,X,?,X,?,7,?,?,X,?,5,B,?,?,?,?
doorfortyfour.com/,Austria,Door Forty Four,?,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,?,?
doradogames.com/,Malta,Dorado Games,?,X,?,?,?,?,X,2,?,?,X,?,2,C,?,?,?,?
dorisandthedragon.com/,UK,Arrogant Pixel,?,X,X,?,?,?,?,2,?,?,X,?,2,C,?,?,?,?
dotemu.com/,France,DotEmu,DotEmu,X,X,?,?,?,?,23,?,?,X,?,4,B,X,?,?,?
double11.com/,UK,Double Eleven,Double Eleven,X,X,?,?,X,?,5,?,?,X,?,5,B,X,?,?,?
doubledutchgames.com/,Netherlands,DoubleDutch Games,tinyBuild,X,?,?,?,X,?,1,?,?,X,?,2,C,?,?,?,?
doublequotestudio.com/,Slovenia,Doublequote Studio,?,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,?,?
dovetailgames.com/,UK,Dovetail Games,?,X,?,?,?,?,?,8,?,?,X,?,5,B,?,?,?,?
dpadstudio.com/index.html,Norway,D-Pad Studio,?,X,X,?,?,X,?,3,?,?,X,?,4,B,?,?,?,?
drageusgames.com/,Poland,Drageus Games,?,X,?,?,?,X,?,27,?,?,X,?,6,B,?,?,?,?
drago-entertainment.com/,Poland,Drago Entertainment,Movie Games S.A.,X,?,?,?,?,?,12,?,?,X,?,5,B,?,?,?,?
dragonbox.com/,Norway,Dragonbox,?,?,X,?,?,?,?,6,?,?,-,?,-,-,?,?,?,?
drakharstudio.com/,Spain,Drakhar Studio,BadLand Publishing,X,X,?,?,X,?,4,?,?,X,?,2,C,?,?,?,?
drakkardev.com/,Italy,Drakkar Dev,?,X,X,?,?,?,?,7,?,?,X,?,5,B,?,?,?,?
drawdistance.dev/,Poland,Draw Distance,?,X,?,?,?,X,?,4,?,?,X,?,8,A,?,?,?,?
dream-side.com/,Russia,Dreamside Interactive,?,X,?,?,?,?,?,3,?,?,X,?,7,B,?,?,?,?
dreamloop.net/,Finland,Dreamloop Games,?,X,?,?,?,X,?,1,?,?,X,?,2,C,?,?,?,?
dreamssoftgames.com/,Spain,DreamsSoftGames,?,X,?,?,?,?,?,7,?,?,X,?,5,B,?,?,?,?
dreamteck.io/,Bulgaria,Dreamtek,?,X,X,?,?,?,?,1,?,?,X,?,2,C,?,?,X,?
drmedont.wixsite.com/toyman,Russia,Toyman Interactive,Buka Entertainment,X,X,?,?,?,?,13,?,O,X,bigfishgames.com/,2,C,?,?,?,?
dtales.it/,Italy,Digital Tales,?,?,X,?,?,?,?,5,?,?,-,?,-,-,?,?,?,?
dualitygames.eu/,Poland,Duality Games,?,X,?,?,?,?,?,5,?,?,X,?,5,B,?,?,?,?
dualthegame.com/en/,France,Novaquark,?,X,?,?,?,?,?,1,?,X,X,xsolla.com/,8,A,?,?,X,?
ducats-games.com/ru/,Russia,DuCats Games,?,X,?,?,?,?,?,4,?,?,X,?,4,B,?,?,?,?
ducks-on-the-water.com/,Germany,Ducks on the Water,?,?,X,?,?,?,?,6,?,?,-,?,-,-,?,?,?,?
duellogames.com/,Turkey,Duello Iletisim Hizmetleri,?,?,X,?,?,?,?,5,?,?,-,?,-,-,?,?,?,?
dustwind.com/,Germany,Dustwind Studios,Z-Software,X,?,?,?,?,?,1,?,X,X,pay.super.com/,8,A,?,?,?,?
dyadicgames.com/,Austria,Dyadic Games,?,X,?,?,?,?,?,1,?,?,X,?,2,C,?,?,?,?
dyagames.com/,Spain,DYA Games,?,X,?,?,?,X,?,4,?,?,X,?,4,B,?,?,?,?
dynamicpixels.com/home,Russia,Dynamic Pixels,?,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,?,?
ea.com/studios/ghost-games,Sweden,Ghost Games ,Electronic Arts,X,?,?,?,?,?,4,?,?,X,?,8,A,?,?,?,?
eageramoeba.co.uk/,UK,Eager Amoeba,?,X,?,?,?,?,?,1,?,?,X,?,1,C,?,?,?,?
eagleislandgame.com/,UK,PixelCount Studios,Screenwave Media,X,?,?,?,X,?,1,?,?,X,?,4,B,?,?,?,?
earthboundgames.com/,UK,Earthbound Games,?,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,?,?
easytrigger.com/,Sweden,Easy Trigger Games,Coffee Stain Publishing,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,?,?
eatcreatesleep.net/,Sweden,Eat Create Sleep,?,X,?,?,?,?,?,3,?,?,X,?,4,B,?,?,?,?
ebim-studio.com/,France,Ebim Studio,Plug In Digital,X,?,?,?,?,?,1,?,?,X,?,2,C,?,?,?,?
eccgames.pl/,Poland,ECC GAMES S.A.,?,X,?,?,?,?,?,2,?,?,X,?,4,B,?,?,?,?
edengames.com/,France,Eden Games,?,X,X,?,?,X,?,14,?,?,X,?,9,A,?,?,?,?
ediogames.com/en/home/index,France,Ediogames,?,X,X,?,?,?,?,1,?,X,X,Unknown,2,C,?,?,?,X
eeldev.com/,Sweden,Dry Eel Development,?,X,?,?,?,?,?,2,?,?,X,?,4,B,?,?,?,?
egosoft.com/,Germany,Egosoft,?,X,?,?,?,?,?,8,?,?,X,?,9,A,?,?,?,?
eidemiurge.itch.io/eidolons,Russia,Wyrmring,?,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,?,?
eightpixelssquare.com/,UK,EightPixelsSquare,?,?,X,?,?,?,?,5,?,?,-,?,-,-,?,?,?,?
eightyeightgames.com/,UK,EightyEight Games,?,?,X,?,?,?,?,4,?,?,-,?,-,-,?,?,?,?
eipix.com/,Serbia,Eipix,?,X,X,X,?,?,?,124,?,O,X,bigfishgames.com/,4,B,?,?,?,?
ejr.com.pl/ejr/intro.php,Poland,EJRGames,?,X,?,X,?,?,?,11,?,?,X,?,3,C,?,?,?,?
ekosystem.com/,France,Ekosystem,?,X,?,?,?,X,?,33,?,?,X,?,6,B,?,?,?,?
eldenpixels.com/,Sweden,Elden Pixels,?,X,?,?,?,?,?,2,?,?,X,?,2,C,?,?,?,?
eldgames.com/,Hungary,Elder Games,Headup,X,?,?,?,?,?,1,?,?,X,?,8,A,?,?,X,?
eldring.se/,Sweden,Eldring Games,?,?,X,?,?,?,?,4,?,?,-,?,-,-,?,?,?,?
electricsquare.com/,UK,Electric Square,?,X,X,?,?,?,?,1,?,?,X,?,4,B,?,?,?,?
electronstudio.co.uk/,UK,Electron Studio,?,X,?,?,?,?,?,1,?,?,X,?,2,C,?,?,?,?
elephant-games.com/,Russia,Elephant Games,Big Fish Games,X,X,?,?,?,?,120,?,O,X,bigfishgames.com/,3,C,?,?,?,?
elfgames.com/,Italy,Elf Game Works,?,X,?,?,?,?,?,3,?,?,X,?,2,C,?,?,?,?
elladagames.com/,Russia,Ellada Games,?,X,?,?,?,X,?,4,?,?,X,?,2,C,?,?,?,?
elmarion.ru/,Russia,Elmarion,?,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,?,?
elvista.net/,Russia,Elvista Media Solutions,?,?,X,?,?,?,?,9,?,?,-,?,-,-,?,?,?,?
emallstudio.com/,Russia,EM ALL Studio,?,?,X,?,?,?,?,6,?,?,-,?,-,-,?,X,?,?
emberheartgames.com/,Slovenia,Emberheart Games,?,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,?,?
empiresinruins.com/,Estonia,Hammer&Ravens,?,X,?,?,?,?,?,2,?,?,X,?,4,B,?,?,?,?
empyrean.games/,Poland,Empyrean games,?,X,?,X,?,?,?,9,?,?,X,?,5,B,?,?,?,?
en.dreadlocks.cz/,Czech Republic,Dreadlocks,?,X,X,?,?,?,?,4,?,X,X,humblebundle.com/,4,B,?,?,?,?
encirclegames.com/,Norway,Encircle Games,?,X,?,?,?,?,?,2,?,?,X,?,4,B,?,?,?,?
eng.bestway.com.ua/,Ukraine,Best Way,1C,X,?,?,?,?,?,4,?,?,X,?,4,B,?,?,?,?
engine-software.com/,Netherlands,Engine Software,?,X,X,?,?,X,?,31,?,?,X,?,6,B,?,?,?,?
enplexgames.com/#about,Russia,Enplex Games,?,X,?,?,?,?,?,1,?,X,-,xsolla.com/,7,B,?,?,X,?
entertainmentforge.com/,Serbia,Entertainment Forge,GrabTheGames,X,?,?,?,?,?,4,?,?,X,?,2,C,?,?,?,?
entwickler-x.de/,Germany,EntwicklerX,?,X,X,?,?,X,?,13,?,?,X,?,3,C,?,?,?,?
epgames.eu/,Spain,EP Games,?,X,X,X,?,X,?,7,?,?,X,?,3,C,?,?,?,?
erepubliklabs.com/,Romania,Erepubliklabs,?,?,X,?,?,?,?,7,?,?,-,?,-,-,?,?,?,?
eugensystems.com/,France,Eugen Systems,?,X,?,?,?,?,?,7,?,X,X,humblebundle.com/,9,A,?,?,?,?
evdaimon.com/,Greece,Evdaimon Games,?,X,X,?,?,?,X,4,?,?,X,?,2,C,?,?,?,?
evehor.com/,Poland,Event Horizon,?,X,?,?,?,X,?,2,?,?,X,?,8,A,?,?,?,?
evilcg.com/,Russia,Evil Corporation Games,?,X,?,?,?,?,?,4,?,?,X,?,4,B,?,?,?,?
evilgamesstudios.wixsite.com/stalin,Russia,Electro Stalin Entertainment,?,X,?,?,?,?,?,5,?,?,X,?,3,C,?,?,?,?
evilindiegames.com/,Poland,Evil Indie Games,?,X,X,?,?,?,?,11,?,?,X,?,3,C,?,?,?,?
evilstarstudios.com/home,Romania,EvilStar Studios,?,X,?,?,?,?,?,2,?,?,X,?,4,B,?,?,?,?
eviltwinartworks.com/,UK,Evil Twin Artworks,?,X,X,?,?,?,?,4,?,?,X,?,4,B,?,?,?,?
evilvideogames.com/,UK,EVIL GAMES,?,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,?,?
evolutastudio.com/ru/,Russia,Evoluta Studio,?,X,X,?,?,?,?,2,?,?,X,?,2,C,?,?,?,?
excalisoft.com/,Netherlands,Excalisoft,?,?,X,?,?,?,?,2,?,?,-,?,-,-,?,?,?,?
excubitorgame.com/?fbclid=IwAR0lKHVQNHnjWM-1_OpTm6OMUFJ2bwLp6CnDYpR5ExtGPtU6giOWdGJ9EdQ,Macedonia,Tesseract Interactive,Kasedo Games,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,?,?
executiveassault.com/ea1/,UK,Hesketh Games,?,X,?,?,?,?,?,2,?,?,X,?,4,B,?,?,?,?
exiin.com/,Belgium,EXiin,?,X,X,?,?,?,?,2,?,?,X,?,4,B,?,?,?,?
exordiumgames.com/,Croatia,Exordium games,?,X,X,?,?,X,?,6,?,?,X,?,3,C,?,?,?,?
exorstudios.com/,Poland,EXOR Studios,?,X,?,?,?,?,?,4,?,?,X,?,4,B,?,?,?,?
expansiveworlds.com/,Sweden,Expansive Worlds,?,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,?,?
expatpixel.games/,France,Expat Pixel Games,?,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,?,?
experiment101.com/,Sweden,Experiment 101,THQ Nordic,X,?,?,?,X,?,1,?,?,X,?,8,A,?,?,X,?
extendmode.com/,UK,Extend Mode,?,X,?,?,?,?,?,2,?,?,X,?,4,B,?,?,?,?
fabrikgames.com/,UK,Fabrik Games,?,X,?,X,?,?,?,2,?,?,X,?,4,B,?,?,?,?
facebook.com/88mmGames,Romania,88mm Games,?,X,X,?,?,?,?,3,?,?,X,?,4,B,?,?,?,?
facebook.com/badbuttonstudio/,Azerbaijan,Bad Button Studio,?,X,X,?,?,?,?,1,?,?,X,?,4,B,?,?,X,?
facebook.com/BadVicesGames/?ref=py_c,Italy,Bad Vices Games,Valkyrie Initiative,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,?,?
facebook.com/blacklandgames/,Belgium,Black Land Studio,?,X,?,?,?,?,?,1,?,?,X,?,1,C,?,?,?,?
facebook.com/BlazingPlanetStudio/,Russia,Blazing Planet Studio,?,X,X,?,?,?,?,3,?,?,X,?,2,C,?,?,?,?
facebook.com/bossgard/,Romania,Sand Sailor Studio,?,X,?,?,?,?,?,2,?,?,X,?,4,B,?,?,?,?
facebook.com/EpicDevs/,Bulgaria,Epic Devs,Assemble Entertainment,X,X,?,?,?,?,3,?,?,X,?,4,B,?,?,?,?
facebook.com/evogamesllc/,Moldavia,Standard EVO Games,?,X,?,?,?,?,?,1,?,?,X,?,2,C,?,?,?,?
facebook.com/FirstGamesInteractive/,Russia,First Games Interactive,?,X,?,?,?,?,?,5,?,?,X,?,3,C,?,?,?,?
facebook.com/ForeverYoungGames/,Hungary,Forever Young Games,?,X,?,?,?,?,?,5,?,?,X,?,3,C,?,?,?,?
facebook.com/FossettGaming/,UK,FossettGaming,?,X,?,?,?,?,?,3,?,?,X,?,2,C,?,?,?,?
facebook.com/friskyfatal/,Serbia,Frisky Fatal Games,Meridean 4,X,?,?,?,?,?,1,?,?,X,?,2,C,?,?,?,?
facebook.com/FurGoldGames/,Russia,FurGoldGames,?,X,?,?,?,?,?,5,?,?,X,?,3,C,?,?,?,?
facebook.com/G.TechAtolye/,Turkey,G-Tech Atolye,?,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,?,?
facebook.com/GameDevWI/,Poland,Winged Imagination,?,X,?,?,?,?,?,1,?,?,X,?,2,C,?,?,?,?
facebook.com/Hamstercube/,Poland,Hamstercube,?,X,?,?,?,?,?,2,?,?,X,?,4,B,?,?,?,?
facebook.com/HeavenBrotherhood/,Russia,HeavenBrotherhood,?,X,?,?,?,?,?,3,?,?,X,?,2,C,?,?,?,?
facebook.com/hgg.indie.5,Russia,Hardcore Game Gear Indie,?,X,?,?,?,?,?,1,?,?,X,?,2,C,?,?,?,?
facebook.com/Just1337-1640570739530549/,Croatia,Just1337 Studio,?,X,?,?,?,?,?,20,?,?,X,?,3,C,?,?,?,?
facebook.com/koderasoftware/,Poland,Kodera Software,?,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,?,?
facebook.com/Kubifaktorium/,Germany,MirkoStudio Games,?,X,?,?,?,?,?,2,?,?,X,?,4,B,?,?,?,?
facebook.com/Kuklam-studios-162018707749220/,Poland,Kuklam studios,?,X,?,?,?,?,?,2,?,?,X,?,4,B,?,?,?,?
facebook.com/LighthouseGames/,UK,Lighthouse Games Studio,?,X,X,?,?,?,?,4,?,?,X,?,2,C,?,?,?,?
facebook.com/lizardfactorygames/,Denmark,The Lizard Factory,?,X,?,?,?,?,?,4,?,?,X,?,2,C,?,?,?,?
facebook.com/MasterCode-2096291623793928/,Poland,MasterCode,Ultimate Games S.A.,X,?,?,?,?,?,2,?,?,X,?,4,B,?,?,?,?
facebook.com/mehangames/,Turkey,Mehan Games,?,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,?,?
facebook.com/myoubouh.corp/,Switzerland,Myoubouh Corp,?,X,?,?,?,?,?,3,?,?,X,?,2,C,?,?,?,?
facebook.com/pages/category/Video-Game/Cheeki-Breeki-Games-269290120672755/,Ukraine,Cheeki Breeki Games,?,X,?,?,?,?,?,2,?,?,X,?,2,C,?,?,?,?
facebook.com/pirate.parrot.software,Ukraine,Pirate Parrot,?,X,X,?,?,?,?,1,?,?,X,?,2,C,?,?,?,?
facebook.com/ProjectorGames/,UK,ProjectorGames,?,X,?,?,?,?,?,7,?,?,X,?,5,B,?,?,?,?
facebook.com/proximitygames/,Turkey,Proksimiti Games,?,X,?,?,?,?,?,5,?,?,X,?,3,C,?,?,?,?
facebook.com/pugwaredev/,UK,Pugware,?,X,?,?,?,?,?,5,?,?,X,?,3,C,?,?,?,?
facebook.com/PyroMobileGames/,Spain,Pyro Studios,Kalypso Media Digital,X,X,?,?,?,?,7,?,?,X,?,5,B,?,?,?,?
facebook.com/RawVengeanceGames/,Germany,Raw Vengeance Games,?,X,?,?,?,?,?,1,?,X,X,xsolla.com/,7,B,?,?,X,?
facebook.com/secondrealitystudio/,Ukraine,Second Reality Official,?,X,X,?,?,?,?,3,?,?,X,?,2,C,?,?,?,?
facebook.com/shockwork/,Poland,Shockwork Games,No Gravity Games,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,?,?
facebook.com/snakescape/,Russia,Rock Path Collective,Hase Games,X,?,?,?,?,?,3,?,?,X,?,2,C,?,?,?,?
facebook.com/solid9studio/,Poland,Solid9 Studio,?,X,?,?,?,?,?,2,?,?,X,?,4,B,?,?,?,?
facebook.com/supervoidgames/,Russia,SUPERVOID,?,X,X,?,?,?,?,2,?,?,X,?,2,C,?,?,?,?
facebook.com/tauronglyph/?ref=bookmarks,Russia,Tauron Glyph,?,X,?,?,?,?,?,1,?,?,X,?,2,C,?,?,?,?
facebook.com/theBratansInc/,Russia,The Bratans Inc.,?,X,?,?,?,?,?,2,?,?,X,?,2,C,?,?,?,?
facebook.com/TheMoonwalls/,Poland,The Moonwalls,?,X,?,?,?,X,?,2,?,?,X,?,4,B,?,?,?,?
